Date;Price
01.01.2010;2529
01.02.2010;2134.5
01.03.2010;2194.75
01.04.2010;2372.75
01.05.2010;2253.25
01.06.2010;1819.75
01.07.2010;1708.5
01.08.2010;2095.25
01.09.2010;2103.25
01.10.2010;2200.5
01.11.2010;2422.5
01.12.2010;2147.5
01.01.2011;2444
01.02.2011;2451.75
01.03.2011;2488
01.04.2011;2380.75
01.05.2011;2234
01.06.2011;2238.5
01.07.2011;2342
01.08.2011;2435.75
01.09.2011;2212.5
01.10.2011;1869.75
01.11.2011;1899
01.12.2011;2049.5
01.01.2012;1827.25
01.02.2012;2113
01.03.2012;2082
01.04.2012;2003.25
01.05.2012;2046.5
01.06.2012;1885
01.07.2012;1873
01.08.2012;1811.75
01.09.2012;1849.75
01.10.2012;2074.25
01.11.2012;1849.25
01.12.2012;2021.25
01.01.2013;2049.5
01.02.2013;2155.75
01.03.2013;1997.5
01.04.2013;1864.5
01.05.2013;1805.75
01.06.2013;1919
01.07.2013;1858
01.08.2013;1816.75
01.09.2013;1870
01.10.2013;1840
01.11.2013;1906.25
01.12.2013;1857
01.01.2014;2053
01.02.2014;1954.75
01.03.2014;2107
01.04.2014;1962.25
01.05.2014;2021.5
01.06.2014;2088.25
01.07.2014;2179.5
01.08.2014;2343
01.09.2014;2358.75
01.10.2014;2261.5
01.11.2014;2308.25
01.12.2014;2232.5
01.01.2015;2167
01.02.2015;2124
01.03.2015;2038.5
01.04.2015;2094
01.05.2015;2364
01.06.2015;2147.5
01.07.2015;2041
01.08.2015;1900


