Date;Price
26.08.2005;1336.75
02.09.2005;1398.5
09.09.2005;1377.25
16.09.2005;1341.25
23.09.2005;1406.25
30.09.2005;1413.75
07.10.2005;1470
14.10.2005;1456.25
21.10.2005;1452
28.10.2005;1548.5
04.11.2005;1561.25
11.11.2005;1609
18.11.2005;1638.25
25.11.2005;1661
02.12.2005;1763
09.12.2005;1824
16.12.2005;1819.5
23.12.2005;1870.75
30.12.2005;1900.5
06.01.2006;1953
13.01.2006;2047.25
20.01.2006;2123.5
27.01.2006;2234.5
03.02.2006;2390.75
10.02.2006;2176.75
17.02.2006;2020
24.02.2006;2244
03.03.2006;2337.5
10.03.2006;2270.6
17.03.2006;2483
24.03.2006;2589
31.03.2006;2650.5
07.04.2006;2841.1
14.04.2006;3053
21.04.2006;3343
28.04.2006;3202
05.05.2006;3476
12.05.2006;3728
19.05.2006;3280
26.05.2006;3847
02.06.2006;3649
09.06.2006;3345
16.06.2006;3136
23.06.2006;2895
30.06.2006;3239
07.07.2006;3465.75
14.07.2006;3468.25
21.07.2006;3061.5
28.07.2006;3297
04.08.2006;3401
11.08.2006;3235.25
18.08.2006;3259
25.08.2006;3354
01.09.2006;3421
08.09.2006;3495
15.09.2006;3154.25
22.09.2006;3403
29.09.2006;3325
06.10.2006;3583.5
13.10.2006;3812.5
20.10.2006;4005
27.10.2006;4185
03.11.2006;4344
10.11.2006;4353.5
17.11.2006;4058
24.11.2006;4603
01.12.2006;4487
08.12.2006;4422
15.12.2006;4399.5
22.12.2006;4185
29.12.2006;4290
05.01.2007;3971
12.01.2007;3846.25
19.01.2007;3702
26.01.2007;3676
02.02.2007;3090
09.02.2007;3115
16.02.2007;3362
23.02.2007;3609
02.03.2007;3320
09.03.2007;3252
16.03.2007;3259.5
23.03.2007;3146.5
30.03.2007;3255
06.04.2007;3436
13.04.2007;3467.5
20.04.2007;3672.5
27.04.2007;3663
04.05.2007;4188
11.05.2007;4071.5
18.05.2007;3724
25.05.2007;3645
01.06.2007;3777.25
08.06.2007;3673
15.06.2007;3769.5
22.06.2007;3550
29.06.2007;3338.5
06.07.2007;3449.5
13.07.2007;3622
20.07.2007;3731
27.07.2007;3502
03.08.2007;3407
10.08.2007;3384
17.08.2007;3071
24.08.2007;3127
31.08.2007;3115
07.09.2007;2770
14.09.2007;2866.75
21.09.2007;2876.75
28.09.2007;3063
05.10.2007;3067
12.10.2007;3131.25
19.10.2007;2953
26.10.2007;2888
02.11.2007;2776.5
09.11.2007;2742
16.11.2007;2525.25
23.11.2007;2282
30.11.2007;2586
07.12.2007;2416.5
14.12.2007;2320.5
21.12.2007;2399.5
28.12.2007;2411
04.01.2008;2494.25
11.01.2008;2382
18.01.2008;2342
25.01.2008;2260
01.02.2008;2461
08.02.2008;2444
15.02.2008;2295.25
22.02.2008;2478.5
29.02.2008;2721
07.03.2008;2632
14.03.2008;2581
21.03.2008;2237
28.03.2008;2322.5
04.04.2008;2342
11.04.2008;2283
18.04.2008;2247
25.04.2008;2289.5
02.05.2008;2193.5
09.05.2008;2127.25
16.05.2008;2342.25
23.05.2008;2126.75
30.05.2008;1980
06.06.2008;1942.75
13.06.2008;1873.1
20.06.2008;1926.25
27.06.2008;1902.5
04.07.2008;1752
