Date;Price
01.04.2010;84.53
01.05.2010;86.19
01.06.2010;72.7
01.07.2010;72.95
01.08.2010;81.25
01.09.2010;73.97
01.10.2010;81.57
01.11.2010;82.94
01.12.2010;86.75
01.01.2011;91.59
01.02.2011;89.54
01.03.2011;99.63
01.04.2011;107.55
01.05.2011;113.03
01.06.2011;100.3
01.07.2011;94.81
01.08.2011;94.98
01.09.2011;89.02
01.10.2011;77.32
01.11.2011;92.18
01.12.2011;100.3
01.01.2012;98.83
01.02.2012;97.63
01.03.2012;108.76
01.04.2012;105.25
01.05.2012;106.17
01.06.2012;83.17
01.07.2012;83.72
01.08.2012;88.99
01.09.2012;97.04
01.10.2012;92.44
01.11.2012;87.05
01.12.2012;88.68
01.01.2013;91.83
01.02.2013;97.56
01.03.2013;90.71
01.04.2013;97.1
01.05.2013;90.73
01.06.2013;93.41
01.07.2013;97.94
01.08.2013;107.92
01.09.2013;107.98
01.10.2013;102.09
01.11.2013;94.56
01.12.2013;93.84
01.01.2014;98.04
01.02.2014;96.44
01.03.2014;105.04
01.04.2014;99.69
01.05.2014;99.4
01.06.2014;102.42
01.07.2014;105.36
01.08.2014;97.86

